city,state,station,last_update,latitude,longitude,pm25,pm10,no2,so2,co,o3,aqi,aqi_category
Kolhapur,Maharashtra,"Shivaji University, Kolhapur - MPCB",2025-05-19 10:00:00,16.6870449,74.2505872,32.0,45.0,5.0,2.0,13.0,3.0,242.6086956521739,Poor
Kolhapur,Maharashtra,"Sinchan Bhavan, Kolhapur - MPCB",2025-05-19 10:00:00,16.7143745,74.2426398,,53.0,12.0,,7.0,38.0,162.40506329113924,Moderately Polluted
Kolkata,West_Bengal,"Bidhannagar, Kolkata - WBPCB",2025-05-19 10:00:00,22.58157048,88.41002457,15.0,62.0,17.0,9.0,23.0,18.0,335.5621301775148,Very Poor
Kolkata,West_Bengal,"Fort William, Kolkata - WBPCB",2025-05-19 10:00:00,22.55664,88.342674,27.0,30.0,34.0,3.0,20.0,7.0,317.98816568047334,Very Poor
Kolkata,West_Bengal,"Jadavpur, Kolkata - WBPCB",2025-05-19 10:00:00,22.49929,88.36917,49.0,48.0,36.0,6.0,21.0,14.0,323.8461538461538,Very Poor
Kolkata,West_Bengal,"Rabindra Bharati University, Kolkata - WBPCB",2025-05-19 10:00:00,22.627847,88.380669,26.0,24.0,24.0,11.0,21.0,18.0,323.8461538461538,Very Poor
Kolkata,West_Bengal,"Rabindra Sarobar, Kolkata - WBPCB",2025-05-19 10:00:00,22.51106,88.35142,16.0,28.0,44.0,2.0,11.0,20.0,213.91304347826087,Poor
Kolkata,West_Bengal,"Victoria, Kolkata - WBPCB",2025-05-19 10:00:00,22.5448082,88.3403691,30.0,39.0,26.0,8.0,22.0,25.0,329.70414201183434,Very Poor
Kollam,Kerala,"Polayathode, Kollam - Kerala PCB",2025-05-19 10:00:00,8.8787,76.6073,53.0,81.0,9.0,2.0,16.0,31.0,285.6521739130435,Poor
Korba,Chhattisgarh,"Rampur, Korba - CECB",2025-05-19 10:00:00,22.368195,82.746431,30.0,43.0,18.0,15.0,29.0,10.0,370.7100591715976,Very Poor
Korba,Chhattisgarh,"Urja Nagar, Korba - CECB",2025-05-19 10:00:00,22.348441,82.549611,78.0,79.0,51.0,9.0,35.0,35.0,405.47738693467335,Severe
Kota,Rajasthan,"Dhanmandi, Kota - RSPCB",2025-05-19 10:00:00,25.16409,75.858137,36.0,74.0,25.0,14.0,17.0,46.0,300.0,Poor
Kota,Rajasthan,"Nayapura, Kota - RSPCB",2025-05-19 10:00:00,25.196024,75.855668,42.0,80.0,19.0,16.0,15.0,55.0,271.30434782608694,Poor
Kota,Rajasthan,"Shrinath Puram, Kota - RSPCB",2025-05-19 10:00:00,25.14389,75.821256,92.0,94.0,14.0,13.0,54.0,50.0,500.0,Severe
Kunjemura,Chhattisgarh,"OP Jindal School, Kunjemura - CECB",2025-05-19 10:00:00,22.12665,83.483212,31.0,45.0,16.0,5.0,36.0,8.0,410.45226130653265,Severe
Latur,Maharashtra,"Sawe Wadi, Latur - MPCB",2025-05-19 10:00:00,18.39963,76.57452,40.0,41.0,18.0,5.0,17.0,31.0,300.0,Poor
Lucknow,Uttar_Pradesh,"B R Ambedkar University, Lucknow - UPPCB",2025-05-19 10:00:00,26.766433,80.927299,82.0,106.0,12.0,92.0,14.0,35.0,256.95652173913044,Poor
Lucknow,Uttar_Pradesh,"Gomti Nagar, Lucknow - UPPCB",2025-05-19 10:00:00,26.86812,81.005119,134.0,77.0,10.0,11.0,39.0,41.0,425.37688442211055,Severe
Lucknow,Uttar_Pradesh,"Kendriya Vidyalaya, Lucknow - CPCB",2025-05-19 10:00:00,26.906111,80.948222,123.0,138.0,36.0,5.0,64.0,11.0,500.0,Severe
